Sl. No.,Divisions,Overhead(OH) Added for 2019-20,OH Dismantled in 2019-20,OH Cables Total,Underground(UG) Added for 2019-20,UG Dismantled in 2019-20,UG Total,Ariel Bundled(AB) Cables Added for 2019-20,AB Cables Dismantled in 2019-20,AB Cables Total,Total Cable Length (km)
1,Indiranagar,0,108.378,90.04,221.622,0,584.217,2.88,10.824,9.446,683.703
2,Whitefield,0,0,265.39,49.8,0,311.98,3.18,0,66.29,643.66
3,Shivajinagar,0,0,209.16,17.5,0,701.028,0,0,44.74,954.928
4,Vidhana Soudha,0,0,0,4.82,0,342.375,0,0,0.2,342.575
,East Circle,0,108.378,564.59,293.742,0,1939.6,6.06,10.824,120.676,2624.866
5,Jayanagar,0,81.02,355.31,68.535,0,804.705,0,0,36.85,1196.865
6,Koramangala,0.85,0,312.23,11.662,0,528.532,0,0,68.39,909.152
7,HSR,0.15,0,1216.44,46.488,0,864.788,0,0,61.33,2142.558
,South Circle,1,81.02,1883.98,126.685,0,2198.025,0,0,166.57,4248.575
8,Kengeri,2.52,75.32,993.844,172.365,0,299.046,0.15,0,177.412,1470.302
9,Rajarajeshwari nagar,3.51,120.23,6.416,163.72,0,511.75,0.03,1.665,6.33,524.496
10,Rajajinagar,0.29,59.79,75.986,143,0,485.537,0,0,38.87,600.393
,West Circle,6.32,255.34,1076.246,479.085,0,1296.333,0.18,1.665,222.612,2595.191
11,Hebbala,3.3,0.43,630.57,16.468,0,399.188,0.15,0.04,40.35,1070.108
12,Malleshwaram,0,8.36,22.51,29.424,0,398.117,0,0.19,19.37,439.997
13,Peenya,5.22,163.51,22.43,347.445,19.51,688.97,0,16.52,0.6,712
14,Jalahalli,8.35,3.4,427.24,25.085,0,101.885,0,3.26,22.5,551.625
,North Circle,16.87,175.7,1102.75,418.422,19.51,1588.16,0.15,20.01,82.82,2773.73
15,Nelamangala,102.45,0,1552.98,8.28,0,67.33,2.62,0,16.11,1636.42
16,Hosakote,122.565,0,5576.705,38.19,0,594.188,0,0,33.49,6204.383
,Blore Rural Circle,225.015,0,7129.685,46.47,0,661.518,2.62,0,49.6,7840.803
17,Ramnagara,43.261,0,4454.468,55.15,0,151.81,0,0,57.72,4663.998
18,Magadi,116.799,0,3575.37,20.2,0,41.697,0,0,23.25,3640.317
19,Kanakpura,113.098,0,4589.999,0.28,0,86.71,0,0,14.85,4691.559
20,Chandapura,47.02,0,2342.8558,48.975,0,391.836,0.007,0,67.552,2802.2438
,Ramnagar Circle,320.178,0,14962.6928,124.605,0,672.053,0.007,0,163.372,15798.1178
21,Kolar,66.81,0,4439.1,0,0,0,0,0,0,4439.1
22,KGF,322.96,0,6209.58,2.92,0,6.92,13.89,0,58.42,6274.92
23,CB Pura,121.86,0,3451.1,4.63,0,29.68,14.89,0,17.09,3497.87
24,Chintamani,86.68,0,4788.12,13.49,0,13.49,5.48,0,6.52,4808.13
,Kolar Circle,598.31,0,18887.9,21.04,0,50.09,34.26,0,82.03,19020.02
25,Tumkur,395.584,0,11390.444,0,0,0,0,0,0,11390.444
26,Tiptur,426.351,0,7498.037,0,0,0,0,0,0,7498.037
27,Madhugiri,291.323,0,13805.439,0,0,0,5.67,0,39.02,13844.459
28,Kunigal,101.442,0,3967.48,0,0,0,0,0,0,3967.48
,Tumkur Circle,1214.7,0,36661.4,0,0,0,5.67,0,39.02,36700.42
29,Davanagere,341.34,6.46,8423.3221,11.18,0,16.76,0.32,0,14.75,8454.8321
30,Harihara,240.57,0,7738.495,0,0,0,0,0,0,7738.495
31,Chitradurga,365.41,0,8784.64,0,0,3.13,0,0,0.03,8787.8
32,Hiriyur,576.359,0,8196.789,4.52,0,5.025,0,0,0,8201.814
,Davanagere Circle,1523.679,6.46,33143.2461,15.7,0,24.915,0.32,0,14.78,33182.9411
,BESCOM,3906.072,626.898,115412.4899,1525.749,19.51,8430.694,49.267,32.499,941.48,124784.6639
